time,open,high,low,close,vol,vol_ccy
2026-06-14 23:27:51,96000.0,96303.8,95755.11,96220.79,647.2229,62276302.2804
2026-06-15 00:27:51,96220.79,96477.83,95912.61,96039.93,479.8597,46085688.9856
2026-06-15 01:27:51,96039.93,96612.96,95677.27,96160.97,695.5533,66885079.2526
2026-06-15 02:27:51,96160.97,96755.91,95850.65,96289.64,485.5592,46754322.1906
2026-06-15 03:27:51,96289.64,96616.86,96116.66,96386.34,981.7434,94626656.5047
2026-06-15 04:27:51,96386.34,96906.72,96041.1,96555.22,798.7006,77118717.1575
2026-06-15 05:27:51,96555.22,97033.29,96489.97,96591.24,451.4054,43601806.8987
2026-06-15 06:27:51,96591.24,97056.15,96211.22,96395.33,698.4837,67330564.7368
2026-06-15 07:27:51,96395.33,96508.49,96119.61,96226.74,586.7938,56465253.0383
2026-06-15 08:27:51,96226.74,96803.42,96149.15,96328.34,119.8542,11545352.7703
2026-06-15 09:27:51,96328.34,96407.89,96179.86,96181.68,628.289,60429887.0803
2026-06-15 10:27:51,96181.68,96675.9,96104.59,96375.32,116.2173,11200475.1916
2026-06-15 11:27:51,96375.32,96795.14,96235.53,96583.28,371.6774,35897819.3061
2026-06-15 12:27:51,96583.28,96987.34,96154.59,96804.59,720.161,69714893.439
2026-06-15 13:27:51,96804.59,97030.87,96117.7,96579.8,427.7515,41312156.3441
2026-06-15 14:27:51,96579.8,96584.42,96298.76,96367.17,553.0241,53293365.97
2026-06-15 15:27:51,96367.17,96743.54,96137.59,96599.39,219.6359,21216697.0705
2026-06-15 16:27:51,96599.39,96776.77,96245.6,96723.63,466.6914,45140082.975
2026-06-15 17:27:51,96723.63,97169.08,96577.2,96931.18,421.0434,40812234.1834
2026-06-15 18:27:51,96931.18,97286.03,96651.48,96900.23,370.2022,35872673.2703
2026-06-15 19:27:51,96900.23,97431.83,96607.46,97023.44,461.2771,44754688.189
2026-06-15 20:27:51,97023.44,97426.8,96814.81,97073.34,377.7964,36673961.5853
2026-06-15 21:27:51,97073.34,97559.88,96691.82,97131.08,797.6304,77474706.7924
2026-06-15 22:27:51,97131.08,97293.3,96938.32,97161.43,666.554,64763342.1074
2026-06-15 23:27:51,97161.43,97570.49,96755.09,97031.29,600.6927,58285985.6974
2026-06-16 00:27:51,97031.29,97139.82,96978.9,97026.66,202.9236,19689003.6044
2026-06-16 01:27:51,97026.66,97093.18,96722.7,96881.37,469.9076,45525292.9126
2026-06-16 02:27:51,96881.37,97281.96,96848.95,96953.17,915.3097,88742172.1426
2026-06-16 03:27:51,96953.17,97437.82,96505.61,96780.56,342.6664,33163440.9195
2026-06-16 04:27:51,96780.56,97028.28,96568.29,96813.83,464.152,44936335.3361
2026-06-16 05:27:51,96813.83,97142.96,96345.45,96804.64,880.1953,85206992.7159
2026-06-16 06:27:51,96804.64,96824.84,96498.61,96605.38,284.0631,27442028.0926
2026-06-16 07:27:51,96605.38,96874.68,96272.78,96563.07,453.8543,43825561.2587
2026-06-16 08:27:51,96563.07,96592.66,95988.57,96454.87,307.9496,29703238.927
2026-06-16 09:27:51,96454.87,96785.27,95969.34,96225.02,354.5401,34115629.5082
2026-06-16 10:27:51,96225.02,96584.89,95889.18,96438.65,871.1827,84015679.3469
2026-06-16 11:27:51,96438.65,96632.07,96032.03,96246.53,817.3836,78670336.445
2026-06-16 12:27:51,96246.53,96544.0,95891.78,96190.21,699.0731,67243986.8144
2026-06-16 13:27:51,96190.21,96463.64,95815.5,96412.99,128.7563,12413780.3877
2026-06-16 14:27:51,96412.99,96614.78,95998.19,96349.98,219.0694,21107336.131
2026-06-16 15:27:51,96349.98,96878.9,96008.11,96417.69,628.6894,60616782.7332
2026-06-16 16:27:51,96417.69,96583.87,96320.76,96329.84,323.8552,31196920.7104
2026-06-16 17:27:51,96329.84,96954.13,96270.08,96480.82,967.441,93339505.6781
2026-06-16 18:27:51,96480.82,96911.52,96012.99,96626.01,228.3769,22067150.5417
2026-06-16 19:27:51,96626.01,96723.23,96242.5,96447.08,534.7801,51577975.4036
2026-06-16 20:27:51,96447.08,96848.66,96286.43,96385.71,24.0981,2322713.381
2026-06-16 21:27:51,96385.71,96431.72,96159.26,96319.97,182.9502,17621759.3304
2026-06-16 22:27:51,96319.97,96661.43,95872.56,96203.49,408.824,39330299.1357
2026-06-16 23:27:51,96203.49,96341.27,95970.38,95973.24,456.7964,43840232.0201
2026-06-17 00:27:51,95973.24,96415.02,95883.34,95968.89,238.038,22844245.06
2026-06-17 01:27:51,95968.89,96153.55,95862.75,95978.63,24.0747,2310653.1336
2026-06-17 02:27:51,95978.63,96046.9,95853.14,96021.84,373.8833,35900959.0943
2026-06-17 03:27:51,96021.84,96201.61,95893.05,96149.93,363.4866,34949205.718
2026-06-17 04:27:51,96149.93,96481.32,95856.54,96133.15,75.5744,7265208.8916
